# Glossary in tab-separated format -*- coding: utf-8 -*-
St. Anselm	안셀무스
ontological	존재론적
argument	논증
Lean	린
Lean community	린 커뮤니티
God	신
Alvin Plantinga	앨빈 플랜팅아
exist	존재하다
existence	존재
the understanding	지성
reality	현실
assumption	가정
reductio	귀류법
great	큰
premise	전제
being	존재자
conceive	생각하다
definition	정의
false	거짓인
formulate	정식화하다
formulation	정식화
formalize	형식화하다
formalization	형식화
property	속성
redundant	불필요한
sentence	문장
state	진술하다
statement	진술
proposition	명제
negation	부정
axiom	공리
theorem	정리
theory	이론
conclude	결론하다
prove	증명하다
SEP	스탠퍼드 철학 백과사전
Eric Wieser	에릭 비저
Alistair Tucker	앨리스터 터커
philosophy	철학
Owl of Sogang	서강올빼미
type theory	유형론
universe level	유형 세계 변수
type	유형
type class	유형 클래스
instance	사례
category mistake	범주 실수
class	클래스
example	보기
example	예
inductive type	귀납형
define	정의하다
constructor	구성자
Apache License, Version 2.0     아파치 라이선스, 버전 2.0
under the terms of      의 조건에 따라
OmegaT	오메가T
symbolic link	심벌릭 링크
directory	디렉터리
root directory	최상위 디렉터리
documentation   문서
English 영어
Korean  한국어
